qualifyId	driverId	number	position
185	18	16	17
186	3	7	18
187	16	20	19
188	21	21	20
189	1	22	1
190	13	2	2
191	5	23	3
192	15	11	4
193	4	5	5
194	8	1	6
195	9	4	7
196	17	10	8
197	20	15	9
198	14	9	10
199	10	12	11
200	2	3	12
201	3	7	13
202	18	16	14
203	7	14	15
204	6	8	16
205	12	6	17
206	22	17	18
207	16	20	19
208	21	21	20
209	1	22	1
210	5	23	2
211	13	2	3
212	9	4	4
213	10	12	5
214	8	1	6
215	4	5	7
216	17	10	8
217	15	11	9
218	12	6	10
219	20	15	11
220	18	16	12
221	14	9	13
222	7	14	14
223	3	7	15
224	2	3	16
225	6	8	17
226	22	17	18
227	21	21	19
228	16	20	20
229	13	2	1
230	1	22	2
231	9	4	3
232	8	1	4
233	5	23	5
234	20	15	6
235	15	11	7
236	2	3	8
237	3	7	9
238	7	14	10
239	6	8	11
240	4	5	12
241	10	12	13
242	17	10	14
243	12	6	15
244	18	16	16
245	14	9	17
246	21	21	18
247	22	17	19
248	16	20	20
249	1	22	1
250	13	2	2
251	5	23	3
252	8	1	4
253	2	3	5
254	4	5	6
255	17	10	7
256	9	4	8
257	7	14	9
258	20	15	10
259	15	11	11
260	12	6	12
261	10	12	13
262	14	9	14
263	3	7	15
264	22	17	16
265	18	16	17
266	16	20	18
267	6	8	19
268	21	21	20
269	20	15	1
270	5	23	2
271	17	10	3
272	7	14	4
273	3	7	5
274	13	2	6
275	15	11	7
276	4	5	8
277	10	12	9
278	2	3	10
279	9	4	11
280	21	21	12
281	14	9	13
282	8	1	14
283	1	22	15
284	22	17	16
285	12	6	17
286	6	8	18
287	18	16	19
288	16	20	20
289	13	2	1
290	1	22	2
291	8	1	3
292	9	4	4
293	5	23	5
294	2	3	6
295	20	15	7
296	10	12	8
297	3	7	9
298	6	8	10
299	15	11	11
300	18	16	12
301	17	10	13
302	14	9	14
303	4	5	15
304	12	6	16
305	7	14	17
306	22	17	18
307	16	20	19
308	21	21	20
309	1	22	1
310	8	1	2
311	5	23	3
312	4	5	4
313	13	2	5
314	9	4	6
315	15	11	7
316	10	12	8
317	20	15	9
318	7	14	10
319	14	9	11
320	12	6	12
321	17	10	13
322	6	8	14
323	3	7	15
324	2	3	16
325	22	17	17
326	18	16	18
327	16	20	19
328	21	21	20
329	1	22	1
330	8	1	2
331	13	2	3
332	4	5	4
333	5	23	5
334	17	10	6
335	2	3	7
336	20	15	8
337	15	11	9
338	7	14	10
339	12	6	11
340	9	4	12
341	10	12	13
342	22	17	14
343	3	7	15
344	14	9	16
345	6	8	17
346	18	16	18
347	16	20	19
348	21	21	20
349	13	2	1
350	15	11	2
351	8	1	3
352	1	22	4
353	5	23	5
354	4	5	6
355	20	15	7
356	2	3	8
357	7	14	9
358	10	12	10
359	12	6	11
360	17	10	12
361	9	4	13
362	14	9	14
363	22	17	15
364	6	8	16
365	18	16	17
366	3	7	18
367	21	21	19
368	16	20	20
369	8	6	1
370	4	1	2
371	2	9	3
372	1	2	4
373	9	10	5
374	21	3	6
375	17	15	7
376	15	12	8
377	23	11	9
378	11	22	10
379	19	23	11
380	3	16	12
381	5	4	13
382	18	7	14
383	25	17	15
384	13	5	16
385	22	8	17
386	26	19	18
387	14	14	19
388	24	18	20
389	16	20	21
390	27	21	22
391	13	5	1
392	4	1	2
393	8	6	3
394	1	2	4
395	2	9	5
396	3	16	6
397	9	10	7
398	15	12	8
399	23	11	9
400	17	15	10
401	5	4	11
402	21	3	12
403	14	14	13
404	11	22	14
405	18	7	15
406	24	18	16
407	26	19	17
408	19	23	18
409	22	8	19
410	25	17	20
411	27	21	21
412	16	20	22
413	13	5	1
414	1	2	2
415	8	6	3
416	4	1	4
417	2	9	5
418	9	10	6
419	21	3	7
420	17	15	8
421	15	12	9
422	3	16	10
423	25	17	11
424	5	4	12
425	19	23	13
426	23	11	14
427	22	8	15
428	18	7	16
429	11	22	17
430	24	18	18
431	26	19	19
432	16	20	20
433	14	14	21
434	27	12	22
435	13	5	1
436	4	1	2
437	8	6	3
438	1	2	4
439	9	10	5
440	15	12	6
441	2	9	7
442	5	4	8
443	14	14	9
444	21	3	10
445	3	16	11
446	22	8	12
447	11	22	13
448	18	7	14
449	19	23	15
450	24	18	16
451	23	11	17
452	25	17	18
453	17	15	19
454	16	20	20
455	27	21	21
456	26	19	22
457	4	1	1
458	1	2	2
459	13	5	3
460	21	3	4
461	3	16	5
462	17	15	6
463	2	9	7
464	9	10	8
465	22	8	9
466	18	7	10
467	25	17	11
468	24	18	12
469	14	14	13
470	15	12	14
471	5	4	15
472	8	6	16
473	19	23	17
474	26	19	18
475	16	20	19
476	23	11	20
477	11	22	21
478	27	21	22
479	1	2	1
480	4	1	2
481	2	9	3
482	8	6	4
483	13	5	5
484	17	15	6
485	3	16	7
486	9	10	8
487	21	3	9
488	15	12	10
489	11	22	11
490	24	18	12
491	22	8	13
492	14	14	14
493	18	7	15
494	26	19	16
495	19	23	17
496	23	11	18
497	25	17	19
498	16	20	20
499	27	21	21
500	5	4	22
501	1	2	1
502	4	1	2
503	13	5	3
504	8	6	4
505	2	9	5
506	5	4	6
507	20	10	7
508	15	12	8
509	17	15	9
510	21	3	10
511	14	14	11
512	23	11	12
513	18	7	13
514	3	16	14
515	22	8	15
516	19	23	16
517	25	17	17
518	11	22	18
519	24	18	19
520	26	19	20
521	16	20	21
522	27	21	22
523	13	5	1
524	1	2	2
525	8	6	3
526	9	10	4
527	21	3	5
528	5	4	6
529	2	9	7
530	15	12	8
531	3	16	9
532	4	1	10
533	23	11	11
534	18	7	12
535	22	8	13
536	17	15	14
537	26	19	15
538	14	14	16
539	24	18	17
540	25	17	18
541	19	23	19
542	27	21	20
543	16	20	21
544	11	22	22
545	1	2	1
546	8	6	2
547	4	1	3
548	13	5	4
549	9	10	5
550	23	11	6
551	5	4	7
552	21	3	8
553	2	9	9
554	15	12	10
555	17	15	11
556	14	14	12
557	25	17	13
558	22	8	14
559	26	19	15
560	24	18	16
561	3	16	17
562	18	7	18
563	19	23	19
564	16	20	20
565	11	22	21
566	27	21	22
567	8	6	1
568	4	1	2
569	13	5	3
570	2	9	4
571	9	10	5
572	17	15	6
573	5	4	7
574	15	12	8
575	23	11	9
576	1	2	10
577	3	16	11
578	25	17	12
579	21	3	13
580	22	8	14
581	19	23	15
582	11	22	16
583	18	7	17
584	26	19	18
585	24	18	19
586	14	14	20
587	16	20	21
588	28	21	22
589	4	1	1
590	1	2	2
591	2	9	3
592	8	6	4
593	3	16	5
594	23	11	6
595	9	10	7
596	21	3	8
597	15	12	9
598	17	15	10
599	14	14	11
600	5	4	12
601	25	17	13
602	13	5	14
603	19	23	15
604	24	18	16
605	18	7	17
606	22	8	18
607	11	22	19
608	20	19	20
609	16	20	21
610	29	21	22
611	13	5	1
612	1	2	2
613	8	6	3
614	4	1	4
615	9	10	5
616	2	9	6
617	5	4	7
618	3	16	8
619	15	12	9
620	21	3	10
621	19	23	11
622	17	15	12
623	14	14	13
624	25	17	14
625	24	18	15
626	23	11	16
627	11	22	17
628	20	19	18
629	16	20	19
630	29	21	20
631	18	7	21
632	22	8	22
633	4	1	1
634	1	2	2
635	13	5	3
636	2	9	4
637	8	6	5
638	9	10	6
639	5	4	7
640	3	16	8
641	15	12	9
642	18	7	10
643	17	15	11
644	22	8	12
645	25	17	13
646	19	23	14
647	21	3	15
648	20	19	16
649	11	22	17
650	23	11	18
651	24	18	19
652	14	14	20
653	16	20	21
654	29	21	22
655	8	6	1
656	13	5	2
657	4	1	3
658	1	2	4
659	3	16	5
660	2	9	6
661	17	15	7
662	15	12	8
663	5	4	9
664	23	11	10
665	14	14	11
666	18	7	12
667	24	18	13
668	9	10	14
669	25	17	15
670	20	19	16
671	22	8	17
672	11	22	18
673	16	20	19
674	19	23	20
675	29	21	21
676	21	3	22
677	1	2	1
678	4	1	2
679	8	6	3
680	13	5	4
681	2	9	5
682	18	7	6
683	17	15	7
684	20	19	8
685	9	10	9
686	21	3	10
687	5	4	11
688	14	14	12
689	15	12	13
690	24	18	14
691	23	11	15
692	3	16	16
693	22	8	17
694	25	17	18
695	19	23	19
696	16	20	20
697	11	22	21
698	29	21	22
699	1	2	1
700	8	6	2
701	13	5	3
702	4	1	4
703	14	14	5
704	23	11	6
705	17	15	7
706	2	9	8
707	9	10	9
708	18	7	10
709	24	18	11
710	15	12	12
711	5	4	13
712	19	23	14
713	3	16	15
714	22	8	16
715	20	19	17
716	21	3	18
717	25	17	19
718	11	22	20
719	16	20	21
720	29	21	22
721	13	5	1
722	1	2	2
723	8	6	3
724	4	1	4
725	17	15	5
726	2	9	6
727	9	10	7
728	15	12	8
729	14	14	9
730	3	16	10
731	22	8	11
732	21	3	12
733	20	19	13
734	24	18	14
735	23	11	15
736	18	7	16
737	5	4	17
738	11	22	18
739	6	17	19
740	19	23	20
741	16	20	21
742	29	21	22
743	30	5	1
744	13	6	2
745	18	12	3
746	4	1	4
747	31	4	5
748	22	11	6
749	17	9	7
750	32	15	8
751	21	2	9
752	2	16	10
753	35	17	11
754	3	10	12
755	14	14	13
756	15	8	14
757	24	20	15
758	26	21	16
759	23	7	17
760	27	19	18
761	33	18	19
762	11	22	20
763	34	23	21
764	8	3	22
765	21	2	1
766	18	12	2
767	3	10	3
768	30	5	4
769	17	9	5
770	31	4	6
771	8	3	7
772	4	1	8
773	32	15	9
774	23	7	10
775	14	14	11
776	22	11	12
777	15	8	13
778	35	17	14
779	2	16	15
780	13	6	16
781	26	21	17
782	24	20	18
783	27	19	19
784	33	18	20
785	11	22	21
786	34	23	22
787	18	12	1
788	21	2	2
789	4	1	3
790	8	3	4
791	31	4	5
792	23	7	6
793	17	9	7
794	2	16	8
795	35	17	9
796	15	8	10
797	30	5	11
798	14	14	12
799	24	20	13
800	32	15	14
801	3	10	15
802	13	6	16
803	22	11	17
804	27	19	18
805	26	21	19
806	33	18	20
807	11	22	21
808	34	23	22
809	30	5	1
810	18	12	2
811	22	11	3
812	13	6	4
813	4	1	5
814	23	7	6
815	31	4	7
816	8	3	8
817	15	8	9
818	17	9	10
819	21	2	11
820	35	17	12
821	3	10	13
822	14	14	14
823	2	16	15
824	24	20	16
825	32	15	17
826	26	21	18
827	33	18	19
828	27	19	20
829	11	22	21
830	34	23	22
831	4	1	1
832	30	5	2
833	13	6	3
834	22	11	4
835	8	3	5
836	18	12	6
837	15	8	7
838	35	17	8
839	31	4	9
840	17	9	10
841	23	7	11
842	3	10	12
843	21	2	13
844	14	14	14
845	2	16	15
846	24	20	16
847	32	15	17
848	27	19	18
849	26	21	19
850	33	18	20
851	11	22	21
852	36	23	22
853	4	1	1
854	21	2	2
855	30	5	3
856	13	6	4
857	22	11	5
858	23	7	6
859	15	8	7
860	18	12	8
861	8	3	9
862	2	16	10
863	17	9	11
864	31	4	12
865	3	10	13
866	35	17	14
867	32	15	15
868	24	20	16
869	26	21	17
870	33	18	18
871	27	19	19
872	11	22	20
873	36	23	21
874	14	14	22
875	4	1	1
876	17	9	2
877	8	3	3
878	31	4	4
879	22	11	5
880	15	8	6
881	14	14	7
882	3	10	8
883	21	2	9
884	23	7	10
885	32	15	11
886	24	20	12
887	18	12	13
888	35	17	14
889	2	16	15
890	27	19	16
891	33	18	17
892	26	21	18
893	11	22	19
894	36	23	20
895	13	6	21
896	30	5	22
897	4	1	1
898	8	3	2
899	30	5	3
900	13	6	4
901	21	2	5
902	22	11	6
903	23	7	7
904	31	4	8
905	2	16	9
906	35	17	10
907	14	14	11
908	3	10	12
909	24	20	13
910	32	15	14
911	26	21	15
912	33	18	16
913	17	9	17
914	27	19	18
915	18	12	19
916	11	22	20
917	36	23	21
918	15	8	22
919	4	1	1
920	21	2	2
921	8	3	3
922	15	8	4
923	30	5	5
924	3	10	6
925	31	4	7
926	18	12	8
927	22	11	9
928	13	6	10
929	35	17	11
930	32	15	12
931	2	16	13
932	23	7	14
933	24	20	15
934	14	14	16
935	17	9	17
936	26	21	18
937	33	18	19
938	27	19	20
939	11	22	21
940	36	23	22
941	30	5	1
942	13	6	2
943	21	2	3
944	22	11	4
945	4	1	5
946	35	17	6
947	18	12	7
948	23	7	8
949	8	3	9
950	2	16	10
951	31	4	11
952	17	9	12
953	26	21	13
954	27	19	14
955	33	18	15
956	32	15	16
957	14	14	17
958	11	22	18
959	3	10	19
960	15	8	20
961	24	20	21
962	36	23	22
963	30	5	1
964	13	6	2
965	4	1	3
966	15	8	4
967	23	7	5
968	8	3	6
969	21	2	7
970	37	4	8
971	3	10	9
972	14	14	10
973	17	9	11
974	2	16	12
975	32	15	13
976	22	11	14
977	26	21	15
978	27	19	16
979	24	20	17
980	35	17	18
981	18	12	19
982	33	18	20
983	36	23	21
984	11	22	22
985	8	3	1
986	30	5	2
987	13	6	3
988	18	12	4
989	21	2	5
990	22	11	6
991	4	1	7
992	23	7	8
993	37	4	9
994	14	14	10
995	17	9	11
996	32	15	12
997	15	8	13
998	35	17	14
999	3	10	15
1000	2	16	16
1001	24	20	17
1002	27	19	18
1003	11	22	19
1004	33	18	20
1005	29	23	21
1006	26	21	22
1007	8	3	1
1008	13	6	2
1009	22	11	3
1010	18	12	4
1011	37	4	5
1012	17	9	6
1013	23	7	7
1014	21	2	8
1015	15	8	9
1016	9	17	10
1017	2	16	11
1018	30	5	12
1019	14	14	13
1020	32	15	14
1021	4	1	15
1022	33	18	16
1023	24	20	17
1024	3	10	18
1025	26	21	19
1026	11	22	20
1027	27	19	21
1028	29	23	22
1029	13	6	1
1030	30	5	2
1031	4	1	3
1032	21	2	4
1033	23	7	5
1034	2	16	6
1035	18	12	7
1036	8	3	8
1037	9	17	9
1038	17	9	10
1039	32	15	11
1040	37	4	12
1041	15	8	13
1042	22	11	14
1043	3	10	15
1044	27	19	16
1045	14	14	17
1046	26	21	18
1047	24	20	19
1048	33	18	20
1049	29	23	21
1050	11	22	22
1051	8	3	1
1052	30	5	2
1053	2	16	3
1054	13	6	4
1055	18	12	5
1056	9	17	6
1057	37	4	7
1058	22	11	8
1059	21	2	9
1060	4	1	10
1061	15	8	11
1062	3	10	12
1063	23	7	13
1064	14	14	14
1065	26	21	15
1066	32	15	16
1067	24	20	17
1068	27	19	18
1069	17	9	19
1070	33	18	20
1071	11	22	21
1072	29	23	22
1073	4	1	1
1074	21	2	2
1075	22	11	3
1076	18	12	4
1077	8	3	5
1078	30	5	6
1079	37	4	7
1080	2	16	8
1081	9	17	9
1082	38	15	10
1083	26	21	11
1084	14	14	12
1085	24	20	13
1086	17	9	14
1087	3	10	15
1088	23	7	16
1089	15	8	17
1090	33	18	18
1091	29	23	19
1092	13	6	20
1093	11	22	21
1094	27	19	22
1095	13	6	1
1096	30	5	2
1097	23	7	3
1098	15	8	4
1099	4	1	5
1100	21	2	6
1101	18	12	7
1102	22	11	8
1103	2	16	9
1104	3	10	10
1105	8	3	11
1106	9	17	12
1107	37	4	13
1108	17	9	14
1109	24	20	15
1110	27	19	16
1111	14	14	17
1112	38	15	18
1113	26	21	19
1114	11	22	20
1115	33	18	21
1116	29	23	22
1117	13	6	1
1118	8	3	2
1119	15	8	3
1120	4	1	4
1121	22	11	5
1122	21	2	6
1123	23	7	7
1124	2	16	8
1125	9	17	9
1126	30	5	10
1127	17	9	11
1128	37	4	12
1129	3	10	13
1130	18	12	14
1131	38	15	15
1132	24	20	16
1133	26	21	17
1134	27	19	18
1135	14	14	19
1136	11	22	20
1137	29	23	21
1138	33	18	22
1139	2	8	1
1140	8	9	2
1141	17	7	3
1142	15	16	4
1143	31	10	5
1144	4	5	6
1145	22	2	7
1146	23	17	8
1147	21	6	9
1148	30	1	10
1149	13	12	11
1150	14	14	12
1151	18	3	13
1152	24	15	14
1153	35	11	15
1154	11	4	16
1155	33	18	17
1156	40	20	18
1157	39	19	19
1158	27	21	20
1159	18	3	1
1160	30	1	2
1161	4	5	3
1162	21	6	4
1163	31	10	5
1164	11	4	6
1165	8	9	7
1166	35	11	8
1167	15	16	9
1168	23	17	10
1169	13	12	11
1170	14	14	12
1171	2	8	13
1172	17	7	14
1173	27	21	15
1174	32	15	16
1175	39	19	17
1176	33	18	18
1177	40	20	19
1178	22	2	20
1179	15	16	1
1180	8	9	2
1181	18	3	3
1182	21	6	4
1183	30	1	5
1184	4	5	6
1185	22	2	7
1186	11	4	8
1187	17	7	9
1188	13	12	10
1189	31	10	11
1190	35	11	12
1191	41	17	13
1192	32	15	14
1193	2	8	15
1194	14	14	16
1195	33	18	17
1196	27	21	18
1197	39	19	19
1198	40	20	20
1199	4	5	1
1200	15	16	2
1201	8	9	3
1202	30	1	4
1203	11	4	5
1204	22	2	6
1205	21	6	7
1206	18	3	8
1207	31	10	9
1208	13	12	10
1209	35	11	11
1210	23	17	12
1211	17	7	13
1212	2	8	14
1213	14	14	15
1214	32	15	16
1215	39	19	17
1216	40	20	18
1217	33	18	19
1218	27	21	20
1219	4	5	1
1220	8	9	2
1221	18	3	3
1222	31	10	4
1223	15	16	5
1224	22	2	6
1225	21	6	7
1226	11	4	8
1227	23	17	9
1228	30	1	10
1229	35	11	11
1230	17	7	12
1231	14	14	13
1232	2	8	14
1233	32	15	15
1234	13	12	16
1235	39	19	17
1236	27	21	18
1237	40	20	19
1238	33	18	20
1239	8	9	1
1240	18	3	2
1241	4	5	3
1242	21	6	4
1243	30	1	5
1244	17	7	6
1245	2	8	7
1246	11	4	8
1247	15	16	9
1248	32	15	10
1249	14	14	11
1250	23	17	12
1251	13	12	13
1252	35	11	14
1253	22	2	15
1254	27	21	16
1255	38	20	17
1256	33	18	18
1257	31	10	19
1258	39	19	20
1259	30	1	1
1260	31	10	2
1261	15	16	3
1262	8	9	4
1263	23	17	5
1264	4	5	6
1265	22	2	7
1266	18	3	8
1267	21	6	9
1268	11	4	10
1269	32	15	11
1270	2	8	12
1271	14	14	13
1272	13	12	14
1273	35	11	15
1274	17	7	16
1275	27	21	17
1276	39	19	18
1277	38	20	19
1278	33	18	20
1279	8	9	1
1280	21	6	2
1281	4	5	3
1282	31	10	4
1283	15	16	5
1284	2	8	6
1285	17	7	7
1286	13	12	8
1287	23	17	9
1288	32	15	10
1289	22	2	11
1290	14	14	12
1291	18	3	13
1292	11	4	14
1293	33	18	15
1294	27	21	16
1295	38	20	17
1296	35	11	18
1297	39	19	19
1298	30	1	20
1299	8	9	1
1300	31	10	2
1301	4	5	3
1302	18	3	4
1303	11	4	5
1304	15	16	6
1305	30	1	7
1306	22	2	8
1307	21	6	9
1308	23	17	10
1309	14	14	11
1310	35	11	12
1311	32	15	13
1312	17	7	14
1313	13	12	15
1314	42	8	16
1315	33	18	17
1316	38	20	18
1317	39	19	19
1318	27	21	20
1319	31	10	1
1320	8	9	2
1321	21	6	3
1322	15	16	4
1323	4	5	5
1324	23	17	6
1325	30	1	7
1326	13	12	8
1327	18	3	9
1328	17	7	10
1329	11	4	11
1330	14	14	12
1331	22	2	13
1332	35	11	14
1333	42	8	15
1334	32	15	16
1335	38	20	17
1336	27	21	18
1337	33	18	19
1338	39	19	20
1339	4	5	1
1340	31	10	2
1341	21	6	3
1342	18	3	4
1343	8	9	5
1344	32	15	6
1345	30	1	7
1346	15	16	8
1347	13	12	9
1348	22	2	10
1349	23	17	11
1350	35	11	12
1351	33	18	13
1352	17	7	14
1353	42	8	15
1354	14	14	16
1355	39	19	17
1356	27	21	18
1357	11	4	19
1358	38	20	20
1359	23	17	1
1360	18	3	2
1361	21	6	3
1362	32	15	4
1363	11	4	5
1364	14	14	6
1365	17	7	7
1366	35	11	8
1367	22	2	9
1368	13	12	10
1369	39	19	11
1370	42	8	12
1371	27	21	13
1372	30	1	14
1373	38	20	15
1374	4	5	16
1375	8	9	17
1376	31	10	18
1377	15	16	19
1378	33	18	20
1379	4	5	1
1380	21	6	2
1381	8	9	3
1382	18	3	4
1383	31	10	5
1384	30	1	6
1385	14	14	7
1386	22	2	8
1387	23	17	9
1388	17	7	10
1389	13	12	11
1390	15	16	12
1391	42	8	13
1392	32	15	14
1393	39	19	15
1394	35	11	16
1395	11	4	17
1396	27	21	18
1397	33	18	19
1398	38	20	20
1399	22	2	1
1400	31	3	2
1401	30	1	3
1402	4	8	4
1403	11	10	5
1404	18	9	6
1405	8	6	7
1406	42	4	8
1407	15	7	9
1408	14	5	10
1409	41	16	11
1410	17	14	12
1411	44	17	13
1412	32	15	14
1413	21	11	15
1414	13	12	16
1415	2	18	17
1416	45	19	18
1417	47	20	19
1418	46	21	20
1419	4	8	1
1420	15	7	2
1421	30	1	3
1422	14	5	4
1423	22	2	5
1424	2	9	6
1425	8	6	7
1426	31	3	8
1427	18	17	9
1428	44	20	10
1429	43	21	11
1430	35	16	12
1431	49	10	13
1432	21	11	14
1433	42	15	15
1434	17	14	16
1435	23	4	17
1436	50	19	18
1437	51	18	19
1438	52	12	20
1439	30	1	1
1440	31	6	2
1441	22	2	3
1442	23	3	4
1443	8	4	5
1444	14	3	6
1445	2	7	7
1446	18	15	8
1447	21	9	9
1448	63	24	10
1449	49	20	11
1450	15	14	12
1451	35	11	13
1452	13	8	14
1453	11	10	15
1454	59	21	16
1455	37	17	17
1456	44	12	18
1457	66	25	19
1458	56	16	20
1459	17	23	21
1460	62	22	22
1461	30	1	1
1462	22	2	2
1463	14	3	3
1464	8	4	4
1465	23	5	5
1466	31	6	6
1467	11	10	7
1468	21	9	8
1469	35	11	9
1470	18	15	10
1471	15	14	11
1472	2	7	12
1473	63	24	13
1474	56	16	14
1475	13	8	15
1476	44	12	16
1477	37	17	17
1478	66	25	18
1479	17	23	19
1480	62	22	20
1481	30	1	1
1482	23	5	2
1483	31	6	3
1484	57	3	4
1485	22	2	5
1486	2	16	6
1487	14	4	7
1488	15	11	8
1489	55	12	9
1490	18	8	10
1491	8	17	11
1492	21	7	12
1493	44	9	13
1494	56	18	14
1495	49	22	15
1496	37	19	16
1497	4	21	17
1498	35	10	18
1499	59	15	19
1500	50	14	20
1501	61	23	21
1502	62	20	22
1503	57	1	1
1504	14	2	2
1505	30	3	3
1506	22	4	4
1507	49	5	5
1508	15	6	6
1509	56	7	7
1510	35	22	8
1511	21	11	9
1512	63	17	10
1513	23	9	11
1514	37	18	12
1515	50	19	13
1516	25	12	14
1517	2	15	15
1518	41	23	16
1519	55	14	17
1520	48	20	18
1521	64	16	19
1522	65	8	20
1523	18	10	21
1524	60	21	22
1525	57	1	1
1526	30	3	2
1527	14	2	3
1528	22	4	4
1529	23	9	5
1530	49	5	6
1531	56	7	7
1532	15	6	8
1533	35	22	9
1534	64	16	10
1535	25	12	11
1536	63	17	12
1537	37	18	13
1538	41	23	14
1539	55	14	15
1540	50	19	16
1541	65	8	17
1542	18	10	18
1543	21	11	19
1544	60	21	20
1545	48	20	21
1546	2	15	22
1547	22	4	1
1548	49	5	2
1549	57	1	3
1550	14	2	4
1551	30	3	5
1552	18	10	6
1553	23	9	7
1554	50	19	8
1555	56	7	9
1556	35	22	10
1557	15	6	11
1558	21	11	12
1559	64	16	13
1560	65	8	14
1561	55	14	15
1562	41	23	16
1563	2	15	17
1564	63	17	18
1565	37	18	19
1566	25	12	20
1567	48	20	21
1568	60	21	22
1569	30	3	1
1570	57	1	2
1571	14	2	3
1572	22	4	4
1573	18	10	5
1574	23	9	6
1575	56	7	7
1576	49	5	8
1577	35	22	9
1578	65	8	10
1579	25	12	11
1580	21	11	12
1581	37	18	13
1582	50	19	14
1583	15	6	15
1584	2	15	16
1585	55	14	17
1586	41	23	18
1587	63	17	19
1588	64	16	20
1589	48	20	21
1590	60	21	22
1591	57	1	1
1592	14	2	2
1593	30	3	3
1594	22	16	4
1595	49	8	5
1596	56	4	6
1597	21	9	7
1598	23	6	8
1599	71	7	9
1600	25	10	10
1601	35	22	11
1602	15	19	12
1603	65	17	13
1604	64	12	14
1605	70	5	15
1606	55	11	16
1607	68	15	17
1608	37	14	18
1609	41	23	19
1610	44	18	20
1611	69	20	21
1612	48	21	22
1613	57	1	1
1614	14	2	2
1615	22	16	3
1616	30	3	4
1617	21	9	5
1618	56	4	6
1619	71	7	7
1620	49	8	8
1621	25	10	9
1622	65	17	10
1623	23	6	11
1624	44	18	12
1625	15	19	13
1626	55	11	14
1627	64	12	15
1628	70	5	16
1629	72	20	17
1630	37	14	18
1631	68	15	19
1632	48	21	20
1633	35	22	21
1634	57	1	1
1635	14	2	2
1636	30	3	3
1637	56	4	4
1638	35	22	5
1639	22	16	6
1640	49	8	7
1641	71	7	8
1642	23	6	9
1643	70	5	10
1644	44	18	11
1645	65	17	12
1646	55	11	13
1647	15	19	14
1648	64	12	15
1649	21	9	16
1650	25	10	17
1651	37	14	18
1652	63	23	19
1653	68	15	20
1654	48	21	21
1655	69	22	22
1656	57	8	1
1657	14	7	2
1658	30	3	3
1659	35	1	4
1660	65	15	5
1661	49	2	6
1662	21	5	7
1663	56	4	8
